Ensembl_Gene_ID,Symbol,category,reference_tpm,reference_source,reference_profile_version
ENSG00000215030,RPL13P12,ribosomal_protein,12.56986,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213820,RPL13P2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241890,RPL13P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240370,RPL13P5,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213176,RPL13P6,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241634,RPL13P8,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000188846,RPL14,ribosomal_protein,933.171875,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000139239,RPL14P1,ribosomal_protein,14.460147,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000225662,RPL14P2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241923,RPL14P3,ribosomal_protein,0.190094,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000225661,RPL14P5,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000292328,RPL14P5,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000185631,RPL14P6,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000174748,RPL15,ribosomal_protein,1362.840088,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000227343,RPL15P1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
